,Country,Country_Code,Indicator Code,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
110,Montenegro, MNE,CORRUP.HOM,,,,,,,,,,33,34,39,37,39.7,41,44,42,44,,,
111,Morocco, MAR,CORRUP.HOM,37,41,47,,37,33,32,32,32,35,35,33,34,34.4,37,37,39,36,,,
112,Mozambique, MOZ,CORRUP.HOM,,35,22,,,27,28,28,28,28,26,25,27,26.9,31,30,31,31,,,
113,Myanmar, MMR,CORRUP.HOM,,,,,,16,17,18,19,14,13,14,14,14.9,15,21,21,22,,,
114,Namibia, NAM,CORRUP.HOM,53,53,54,54,57,47,41,43,41,45,45,45,44,44.3,48,48,49,53,,,
115,Nepal, NPL,CORRUP.HOM,,,,,,,28,25,25,25,27,23,22,22.1,27,31,29,27,,,
116,Netherlands, NLD,CORRUP.HOM,90,90,89,88,90,89,87,86,87,90,89,89,88,88.9,84,83,83,87,,,
117,New Zealand, NZL,CORRUP.HOM,94,94,94,94,95,95,96,96,96,94,93,94,93,94.6,90,91,91,88,,,
118,Nicaragua, NIC,CORRUP.HOM,30,31,,24,25,26,27,26,26,26,25,25,25,25.3,29,28,28,27,,,
119,Niger, NER,CORRUP.HOM,,,,,,,22,24,23,26,28,29,26,25.4,33,34,35,34,,,
120,Nigeria, NGA,CORRUP.HOM,19,16,12,10,16,14,16,19,22,22,27,25,24,24.5,27,25,27,26,,,
121,Norway, NOR,CORRUP.HOM,90,89,91,86,85,88,89,89,88,87,79,86,86,89.9,85,86,86,87,,,
122,Oman, OMN,CORRUP.HOM,,,,,,63,61,63,54,47,55,55,53,48.3,47,47,45,45,,,
123,Pakistan, PAK,CORRUP.HOM,27,22,,23,26,25,21,21,22,24,25,24,23,24.7,27,28,29,30,,,
124,Palestine, PSE,CORRUP.HOM,,,,,,30,25,26,,,,,,,-,-,-,-,,,
125,Panama, PAN,CORRUP.HOM,,,,37,30,34,37,35,31,32,34,34,36,32.7,38,35,37,39,,,
126,Papua New Guinea, PNG,CORRUP.HOM,,,,,,21,26,23,24,20,20,21,21,21.7,25,25,25,25,,,
127,Paraguay, PRY,CORRUP.HOM,15,20,,,17,16,19,21,26,24,24,21,22,22.2,25,24,24,27,,,
128,Peru, PER,CORRUP.HOM,45,45,44,41,40,37,35,35,33,35,36,37,35,33.9,38,38,38,36,,,
129,Philippines, PHL,CORRUP.HOM,33,36,28,29,26,25,26,25,25,25,23,24,24,26.4,34,36,38,35,,,
130,Poland, POL,CORRUP.HOM,46,42,41,41,40,36,35,34,37,42,46,50,53,54.8,58,60,61,62,,,
131,Portugal, PRT,CORRUP.HOM,65,67,64,63,63,66,63,65,66,65,61,58,60,61,63,62,63,63,,,
132,Puerto Rico, PRI,CORRUP.HOM,,,,,,,,,,,58,58,58,55.9,63,62,63,-,,,
133,Qatar, QAT,CORRUP.HOM,,,,,,56,52,59,60,60,65,70,77,71.6,68,68,69,71,,,
134,Republic of the Congo, COG,CORRUP.HOM,,,,,,22,23,23,22,21,19,19,21,21.5,26,22,23,23,,,
135,Romania, ROU,CORRUP.HOM,30,33,29,28,26,28,29,30,31,37,38,38,37,36.1,44,43,43,46,,,
136,Russia, RUS,CORRUP.HOM,24,24,21,23,27,27,28,24,25,23,21,22,21,24.5,28,28,27,29,,,
137,Rwanda, RWA,CORRUP.HOM,,,,,,,,31,25,28,30,33,40,49.8,53,53,49,54,,,
138,Saint Lucia, LCA,CORRUP.HOM,,,,,,,,,,68,71,70,,70.2,71,71,-,-,,,
139,Saint Vincent and the Grenadines, VCT,CORRUP.HOM,,,,,,,,,,61,65,64,,57.6,62,62,67,-,,,
140,Samoa, WSM,CORRUP.HOM,,,,,,,,,,45,44,45,41,38.8,-,-,52,-,,,
141,Sao Tome and Principe, STP,CORRUP.HOM,,,,,,,,,,27,27,28,30,29.9,42,42,42,42,,,
142,Saudi Arabia, SAU,CORRUP.HOM,,,,,,45,34,34,33,34,35,43,47,43.9,44,46,49,52,,,
143,Senegal, SEN,CORRUP.HOM,33,34,35,29,31,32,30,32,33,36,34,30,29,28.7,36,41,43,44,,,
144,Serbia, SRB,CORRUP.HOM,,,,,,,,,30,34,34,35,35,33.1,39,42,41,40,,,
145,Seychelles, SYC,CORRUP.HOM,,,,,,,44,40,36,45,48,48,48,48.2,52,54,55,55,,,
146,Sierra Leone, SLE,CORRUP.HOM,,,,,,22,23,24,22,21,19,22,24,24.6,31,30,31,29,,,
147,Singapore, SGP,CORRUP.HOM,91,91,91,92,93,94,93,94,94,93,92,92,93,91.7,87,86,84,85,,,
148,Slovakia, SVK,CORRUP.HOM,39,37,35,37,37,37,40,43,47,49,50,45,43,39.7,46,47,50,51,,,
149,Slovenia, SVN,CORRUP.HOM,,60,55,52,60,59,60,61,64,66,67,66,64,58.7,61,57,58,60,,,
150,Solomon Islands, SLB,CORRUP.HOM,,,,,,,,,,28,29,28,28,27.1,-,-,-,-,,,
151,Somalia, SOM,CORRUP.HOM,,,,,,,,21,,14,10,11,11,9.8,8,8,8,8,,,
152,South Africa, ZAF,CORRUP.HOM,52,50,50,48,48,44,46,45,46,51,49,47,45,40.8,43,42,44,44,,,
153,South Sudan, SSD,CORRUP.HOM,,,,,,,,,,,,,,,-,14,15,15,,,
154,Spain, ESP,CORRUP.HOM,61,66,70,70,71,69,71,70,68,67,65,61,61,62.3,65,59,60,58,,,
155,Sri Lanka, LKA,CORRUP.HOM,,,,,37,34,35,32,31,32,32,31,32,33,40,37,38,37,,,
156,Sudan, SDN,CORRUP.HOM,,,,,,23,22,21,20,18,16,15,16,15.6,13,11,11,12,,,
157,Suriname, SUR,CORRUP.HOM,,,,,,,43,32,30,35,36,37,,30.3,37,36,36,36,,,
158,Swaziland, SWZ,CORRUP.HOM,,,,,,,,27,25,33,36,36,32,30.8,37,39,43,-,,,
159,Sweden, SWE,CORRUP.HOM,95,94,94,90,93,93,92,92,92,93,93,92,92,93,88,89,87,89,,,
160,Switzerland, CHE,CORRUP.HOM,89,89,86,84,85,88,91,91,91,90,90,90,87,88,86,85,86,86,,,
161,Syria, SYR,CORRUP.HOM,,,,,,34,34,34,29,24,21,26,25,25.6,26,17,20,18,,,
162,Taiwan, TWN,CORRUP.HOM,53,56,55,59,56,57,56,59,59,57,57,56,58,61.4,61,61,61,62,,,
